                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.86173,                 4.2744,                 1.3559,                 0.7404,                0.04317,                 0.1031,                0.07241,                 1.0678,                 4.4136,                  1.516,             5.5138e-05,             5.5138e-05,             5.5138e-05
                     35,                0.85849,                 4.2614,                 1.3266,                0.74586,                0.04379,                0.09425,                0.06944,                 1.0695,                 4.4037,                 1.5213,             5.5081e-05,             5.5081e-05,             5.5081e-05
                     36,                0.87266,                 4.1846,                 1.3474,                0.74343,                0.04188,                0.09626,                0.07244,                 1.0763,                 4.3803,                 1.5314,             5.5025e-05,             5.5025e-05,             5.5025e-05
                     37,                0.81749,                 4.1889,                  1.312,                0.74484,                0.04214,                0.09853,                0.07227,                  1.076,                 4.3684,                 1.5255,             5.4969e-05,             5.4969e-05,             5.4969e-05
                     38,                0.84198,                 4.1617,                  1.311,                0.02358,                0.31133,                 0.1053,                0.07733,                  1.063,                 4.3476,                 1.5148,             5.4912e-05,             5.4912e-05,             5.4912e-05
                     39,                0.81195,                 4.0377,                 1.3154,                0.02348,                0.31133,                0.10308,                0.07704,                 1.0626,                 4.3403,                 1.5147,             5.4856e-05,             5.4856e-05,             5.4856e-05
                     40,                0.84502,                 4.1523,                 1.3276,                0.02255,                0.31559,                0.10813,                 0.0798,                 1.0625,                  4.316,                 1.5176,             5.4799e-05,             5.4799e-05,             5.4799e-05
                     41,                0.87193,                 4.0668,                 1.3261,                0.48611,                0.12504,                0.11167,                0.08357,                 1.0596,                 4.2937,                 1.5146,             5.4743e-05,             5.4743e-05,             5.4743e-05
                     42,                 0.8422,                 3.9241,                  1.305,                0.55431,                0.09181,                 0.1263,                0.09303,                 1.0671,                 4.2577,                 1.5206,             5.4686e-05,             5.4686e-05,             5.4686e-05
                     43,                0.86808,                 3.9417,                  1.349,                0.44575,                0.13701,                0.12321,                0.09307,                 1.0679,                  4.248,                 1.5209,              5.463e-05,              5.463e-05,              5.463e-05
                     44,                0.78871,                 3.8679,                 1.2826,                0.60058,                0.11265,                0.12351,                0.09381,                 1.0752,                 4.2345,                 1.5206,             5.4574e-05,             5.4574e-05,             5.4574e-05
                     45,                 0.8722,                 3.8709,                 1.3532,                0.62164,                0.11325,                0.12613,                0.09479,                 1.0835,                 4.2245,                 1.5245,             5.4517e-05,             5.4517e-05,             5.4517e-05
                     46,                0.79661,                 3.8199,                  1.318,                0.62539,                0.12389,                0.12847,                0.09707,                 1.0885,                 4.2014,                 1.5263,             5.4461e-05,             5.4461e-05,             5.4461e-05
                     47,                 0.8425,                 3.7718,                 1.3075,                0.62256,                0.12094,                0.12987,                0.09646,                 1.1015,                 4.2001,                 1.5358,             5.4404e-05,             5.4404e-05,             5.4404e-05
                     48,                0.83051,                 3.6664,                 1.3204,                0.62065,                0.12104,                0.12772,                0.09145,                 1.0993,                 4.2093,                 1.5287,             5.4348e-05,             5.4348e-05,             5.4348e-05
                     49,                0.85053,                 3.7211,                 1.3263,                0.62495,                0.12766,                0.12849,                0.09025,                 1.0954,                 4.1979,                 1.5288,             5.4291e-05,             5.4291e-05,             5.4291e-05
                     50,                0.83157,                 3.7405,                 1.3289,                0.64496,                0.12353,                0.12973,                0.08988,                 1.0935,                 4.1935,                 1.5292,             5.4235e-05,             5.4235e-05,             5.4235e-05
                     51,                0.80618,                 3.6201,                 1.2838,                0.64322,                0.13091,                0.13509,                0.09358,                 1.0949,                 4.1742,                 1.5323,             5.4179e-05,             5.4179e-05,             5.4179e-05
                     52,                0.81439,                 3.7062,                 1.3205,                0.61684,                 0.1285,                0.13277,                0.09163,                 1.1047,                 4.1602,                 1.5408,             5.4122e-05,             5.4122e-05,             5.4122e-05
                     53,                0.81988,                 3.6462,                 1.3084,                0.61653,                 0.1355,                0.13538,                0.09507,                 1.1082,                 4.1489,                 1.5458,             5.4066e-05,             5.4066e-05,             5.4066e-05
                     54,                0.82772,                 3.5269,                 1.2982,                0.57264,                0.13788,                0.14116,                0.10265,                 1.1093,                 4.1201,                 1.5567,             5.4009e-05,             5.4009e-05,             5.4009e-05
                     55,                0.82278,                  3.486,                 1.3053,                0.52545,                 0.1356,                0.13947,                0.10213,                 1.1134,                 4.1162,                 1.5641,             5.3953e-05,             5.3953e-05,             5.3953e-05
                     56,                0.84835,                 3.4184,                 1.3144,                 0.5029,                0.14211,                0.14391,                0.10396,                 1.1161,                 4.1039,                 1.5656,             5.3896e-05,             5.3896e-05,             5.3896e-05
                     57,                0.82861,                 3.4789,                 1.3319,                0.50781,                0.15698,                0.14714,                0.10502,                 1.1233,                 4.1037,                 1.5745,              5.384e-05,              5.384e-05,              5.384e-05
                     58,                0.80821,                 3.4829,                 1.3021,                0.48809,                0.15592,                 0.1545,                0.10911,                 1.1265,                  4.088,                 1.5813,             5.3783e-05,             5.3783e-05,             5.3783e-05
                     59,                0.80546,                 3.2593,                 1.3071,                 0.5374,                0.14036,                0.15726,                0.11291,                 1.1282,                 4.0771,                 1.5866,             5.3727e-05,             5.3727e-05,             5.3727e-05
                     60,                0.80755,                 3.4214,                 1.2978,                0.60843,                 0.1131,                0.15276,                0.11275,                 1.1449,                 4.0838,                 1.5974,             5.3671e-05,             5.3671e-05,             5.3671e-05
                     61,                0.80665,                 3.3095,                 1.3342,                0.56414,                0.13258,                0.15622,                0.11532,                 1.1499,                 4.0821,                 1.6007,             5.3614e-05,             5.3614e-05,             5.3614e-05
                     62,                0.85892,                 3.2035,                 1.3294,                0.54377,                0.14696,                0.15667,                0.11451,                 1.1636,                  4.082,                  1.622,             5.3558e-05,             5.3558e-05,             5.3558e-05
                     63,                0.83545,                 3.1233,                 1.3184,                0.54839,                0.14558,                0.15403,                0.11357,                  1.167,                 4.0825,                 1.6259,             5.3501e-05,             5.3501e-05,             5.3501e-05
                     64,                0.86789,                 3.2529,                 1.3449,                 0.5615,                0.13897,                0.15641,                0.11668,                 1.1641,                 4.0899,                 1.6226,             5.3445e-05,             5.3445e-05,             5.3445e-05
                     65,                0.82036,                 3.1671,                  1.307,                 0.6862,                 0.1095,                0.15786,                0.11804,                 1.1604,                 4.1009,                 1.6082,             5.3388e-05,             5.3388e-05,             5.3388e-05
                     66,                0.80167,                 3.2333,                 1.2674,                0.54313,                0.13793,                0.15719,                0.11652,                 1.1585,                 4.1152,                  1.609,             5.3332e-05,             5.3332e-05,             5.3332e-05
                     67,                0.82447,                 3.1932,                 1.3254,                 0.5469,                0.13348,                0.15987,                0.11786,                 1.1632,                 4.1231,                 1.6051,             5.3276e-05,             5.3276e-05,             5.3276e-05
                     68,                0.80588,                 3.1439,                 1.2915,                0.55495,                0.14302,                0.16358,                0.11809,                 1.1696,                 4.1206,                 1.6205,             5.3219e-05,             5.3219e-05,             5.3219e-05
